Sr.no,Question,Option 1,Option 2,Option 3,Option 4,Answer
1,What is the capital of Australia?,Sydney,Melbourne,Canberra,Brisbane,Canberra
2,Which country is the largest producer of coffee in the world?,Brazil,Colombia,Ethiopia,Vietnam,Brazil
3,Who is the author of the Harry Potter series?,J.K. Rowling,Stephenie Meyer,Suzanne Collins,George R.R. Martin,J.K. Rowling
4,Which planet is closest to the sun?,Venus,Earth,Mars,Mercury,Mercury
5,What is the smallest country in the world by land area?,Monaco,Nauru,Vatican City,Liechtenstein,Vatican City
6,What is the largest organ in the human body?,Brain,Liver,Skin,Heart,Skin
7,Who won the FIFA World Cup in 2018?,Germany,Brazil,France,Argentina,France
8,Which element has the symbol Fe on the periodic table?,Iron,Gold,Silver,Copper,Iron
9,Which famous physicist came up with the theory of relativity?,Isaac Newton,Albert Einstein,Galileo Galilei,Stephen Hawking,Albert Einstein
10,Which is the only continent without any deserts?,Africa,Europe,Antarctica,Asia,Europe
